sec , time , count(in)(line1) , count(out)(line1) , total_count(in)(line1) , total_count(out)(line1) , man , woman , age_gender(list)
0 , 2024-01-11 12:16:14.600960 , 0 , 0 , 0 , 0 , 0 , 0
1 , 2024-01-11 12:16:18.800106 , 0 , 0 , 0 , 0 , 0 , 0
2 , 2024-01-11 12:16:22.410701 , 0 , 0 , 0 , 0 , 0 , 0
3 , 2024-01-11 12:16:25.969475 , 0 , 0 , 0 , 0 , 0 , 0
4 , 2024-01-11 12:16:29.586602 , 0 , 0 , 0 , 0 , 0 , 0
5 , 2024-01-11 12:16:33.283301 , 0 , 0 , 0 , 0 , 0 , 0
6 , 2024-01-11 12:16:37.001209 , 0 , 0 , 0 , 0 , 0 , 0
7 , 2024-01-11 12:16:40.583259 , 0 , 0 , 0 , 0 , 0 , 0
8 , 2024-01-11 12:16:44.190572 , 0 , 0 , 0 , 0 , 0 , 0
9 , 2024-01-11 12:16:47.822718 , 0 , 0 , 0 , 0 , 0 , 0
10 , 2024-01-11 12:16:51.433676 , 0 , 0 , 0 , 0 , 0 , 0
11 , 2024-01-11 12:16:55.031931 , 0 , 0 , 0 , 0 , 0 , 0
12 , 2024-01-11 12:16:58.630136 , 0 , 0 , 0 , 0 , 0 , 0
13 , 2024-01-11 12:17:02.243822 , 0 , 0 , 0 , 0 , 0 , 0
14 , 2024-01-11 12:17:05.811742 , 0 , 0 , 0 , 0 , 0 , 0
15 , 2024-01-11 12:17:10.514947 , 0 , 1 , 0 , 1 , 1 , 0 , Unknown
16 , 2024-01-11 12:17:14.061252 , 0 , 0 , 0 , 1 , 0 , 0
17 , 2024-01-11 12:17:17.609917 , 0 , 0 , 0 , 1 , 0 , 0
18 , 2024-01-11 12:17:21.169470 , 0 , 0 , 0 , 1 , 0 , 0
19 , 2024-01-11 12:17:24.743575 , 0 , 0 , 0 , 1 , 0 , 0
20 , 2024-01-11 12:17:28.323324 , 0 , 0 , 0 , 1 , 0 , 0
21 , 2024-01-11 12:17:31.903141 , 0 , 0 , 0 , 1 , 0 , 0
