sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
87 , 2023-07-05 11:23:21.239792 , 1 , 0 , 9 , 5
88 , 2023-07-05 11:23:22.887591 , 1 , 0 , 10 , 5
89 , 2023-07-05 11:23:24.512974 , 0 , 1 , 10 , 6
90 , 2023-07-05 11:23:26.114686 , 1 , 1 , 11 , 7
91 , 2023-07-05 11:23:27.742490 , 0 , 1 , 11 , 8
92 , 2023-07-05 11:23:29.351070 , 0 , 1 , 11 , 9
93 , 2023-07-05 11:23:30.938632 , 0 , 0 , 11 , 9
94 , 2023-07-05 11:23:32.544775 , 0 , 0 , 11 , 9
95 , 2023-07-05 11:23:34.095803 , 0 , 0 , 11 , 9
96 , 2023-07-05 11:23:35.710599 , 0 , 1 , 11 , 10
97 , 2023-07-05 11:23:37.312620 , 0 , 0 , 11 , 10
98 , 2023-07-05 11:23:38.919213 , 0 , 0 , 11 , 10
99 , 2023-07-05 11:23:40.526782 , 0 , 1 , 11 , 11
100 , 2023-07-05 11:23:42.149596 , 0 , 0 , 11 , 11
101 , 2023-07-05 11:23:43.758742 , 0 , 0 , 11 , 11
102 , 2023-07-05 11:23:45.420473 , 0 , 0 , 11 , 11
103 , 2023-07-05 11:23:47.061422 , 0 , 0 , 11 , 11
104 , 2023-07-05 11:23:48.650433 , 0 , 0 , 11 , 11
105 , 2023-07-05 11:23:50.245654 , 0 , 1 , 11 , 12
106 , 2023-07-05 11:23:51.885708 , 0 , 0 , 11 , 12
107 , 2023-07-05 11:23:53.538555 , 0 , 0 , 11 , 12
108 , 2023-07-05 11:23:55.146228 , 0 , 0 , 11 , 12
109 , 2023-07-05 11:23:56.775319 , 0 , 0 , 11 , 12
110 , 2023-07-05 11:23:58.408357 , 1 , 0 , 12 , 12
111 , 2023-07-05 11:24:00.025665 , 1 , 0 , 13 , 12
112 , 2023-07-05 11:24:01.701944 , 0 , 0 , 13 , 12
113 , 2023-07-05 11:24:03.321825 , 0 , 0 , 13 , 12
114 , 2023-07-05 11:24:04.869064 , 0 , 0 , 13 , 12
115 , 2023-07-05 11:24:06.432652 , 0 , 0 , 13 , 12
116 , 2023-07-05 11:24:07.995510 , 0 , 0 , 13 , 12
117 , 2023-07-05 11:24:09.583756 , 0 , 0 , 13 , 12
118 , 2023-07-05 11:24:11.178947 , 0 , 0 , 13 , 12
119 , 2023-07-05 11:24:12.735248 , 0 , 0 , 13 , 12
120 , 2023-07-05 11:24:14.347801 , 0 , 0 , 13 , 12
121 , 2023-07-05 11:24:15.948128 , 0 , 0 , 13 , 12
122 , 2023-07-05 11:24:17.569638 , 0 , 0 , 13 , 12
123 , 2023-07-05 11:24:19.209619 , 0 , 0 , 13 , 12
124 , 2023-07-05 11:24:20.877546 , 0 , 1 , 13 , 13
125 , 2023-07-05 11:24:22.603106 , 0 , 0 , 13 , 13
126 , 2023-07-05 11:24:24.356346 , 0 , 0 , 13 , 13
127 , 2023-07-05 11:24:26.022549 , 0 , 1 , 13 , 14
128 , 2023-07-05 11:24:27.674638 , 0 , 0 , 13 , 14
129 , 2023-07-05 11:24:29.342856 , 0 , 0 , 13 , 14
130 , 2023-07-05 11:24:31.022071 , 0 , 0 , 13 , 14
131 , 2023-07-05 11:24:32.689543 , 0 , 0 , 13 , 14
132 , 2023-07-05 11:24:34.390283 , 0 , 1 , 13 , 15
133 , 2023-07-05 11:24:36.066068 , 0 , 0 , 13 , 15
134 , 2023-07-05 11:24:37.744629 , 0 , 0 , 13 , 15
135 , 2023-07-05 11:24:39.428758 , 0 , 0 , 13 , 15
136 , 2023-07-05 11:24:41.058089 , 0 , 0 , 13 , 15
137 , 2023-07-05 11:24:42.692979 , 0 , 0 , 13 , 15
138 , 2023-07-05 11:24:44.315310 , 0 , 0 , 13 , 15
139 , 2023-07-05 11:24:45.986676 , 0 , 0 , 13 , 15
140 , 2023-07-05 11:24:47.598804 , 0 , 0 , 13 , 15
141 , 2023-07-05 11:24:49.204894 , 0 , 0 , 13 , 15
142 , 2023-07-05 11:24:50.873383 , 0 , 0 , 13 , 15
143 , 2023-07-05 11:24:52.581705 , 0 , 0 , 13 , 15
144 , 2023-07-05 11:24:54.477583 , 0 , 0 , 13 , 15
145 , 2023-07-05 11:24:56.196841 , 0 , 0 , 13 , 15
146 , 2023-07-05 11:24:57.901935 , 0 , 0 , 13 , 15
147 , 2023-07-05 11:24:59.604756 , 0 , 0 , 13 , 15
148 , 2023-07-05 11:25:01.278984 , 0 , 0 , 13 , 15
149 , 2023-07-05 11:25:02.923288 , 0 , 0 , 13 , 15
150 , 2023-07-05 11:25:04.544909 , 0 , 0 , 13 , 15
151 , 2023-07-05 11:25:06.176230 , 0 , 0 , 13 , 15
152 , 2023-07-05 11:25:07.809788 , 0 , 0 , 13 , 15
153 , 2023-07-05 11:25:09.458664 , 0 , 1 , 13 , 16
154 , 2023-07-05 11:25:11.097784 , 1 , 0 , 14 , 16
155 , 2023-07-05 11:25:12.746716 , 0 , 0 , 14 , 16
156 , 2023-07-05 11:25:14.430967 , 0 , 1 , 14 , 17
157 , 2023-07-05 11:25:16.068174 , 0 , 0 , 14 , 17
158 , 2023-07-05 11:25:17.667864 , 0 , 0 , 14 , 17
159 , 2023-07-05 11:25:19.310227 , 0 , 1 , 14 , 18
160 , 2023-07-05 11:25:20.944058 , 0 , 0 , 14 , 18
161 , 2023-07-05 11:25:22.540520 , 0 , 0 , 14 , 18
162 , 2023-07-05 11:25:24.128006 , 0 , 0 , 14 , 18
163 , 2023-07-05 11:25:25.705438 , 0 , 0 , 14 , 18
164 , 2023-07-05 11:25:28.428470 , 0 , 0 , 14 , 18
165 , 2023-07-05 11:25:30.018119 , 0 , 0 , 14 , 18
166 , 2023-07-05 11:25:31.617952 , 2 , 0 , 16 , 18
167 , 2023-07-05 11:25:33.224109 , 0 , 0 , 16 , 18
168 , 2023-07-05 11:25:34.792821 , 0 , 0 , 16 , 18
169 , 2023-07-05 11:25:36.380908 , 0 , 0 , 16 , 18
170 , 2023-07-05 11:25:37.950942 , 0 , 0 , 16 , 18
171 , 2023-07-05 11:25:39.628416 , 0 , 0 , 16 , 18
172 , 2023-07-05 11:25:41.263712 , 0 , 0 , 16 , 18
173 , 2023-07-05 11:25:42.911430 , 0 , 0 , 16 , 18
174 , 2023-07-05 11:25:45.733833 , 0 , 0 , 16 , 18
175 , 2023-07-05 11:25:47.329040 , 0 , 0 , 16 , 18
176 , 2023-07-05 11:25:48.925797 , 1 , 0 , 17 , 18
177 , 2023-07-05 11:25:50.490750 , 0 , 0 , 17 , 18
178 , 2023-07-05 11:25:52.587888 , 0 , 0 , 17 , 18
179 , 2023-07-05 11:25:54.137028 , 0 , 0 , 17 , 18
180 , 2023-07-05 11:25:55.688993 , 1 , 0 , 18 , 18
181 , 2023-07-05 11:25:57.261235 , 0 , 0 , 18 , 18
182 , 2023-07-05 11:25:58.892514 , 0 , 0 , 18 , 18
183 , 2023-07-05 11:26:00.550869 , 0 , 0 , 18 , 18
184 , 2023-07-05 11:26:02.251232 , 0 , 0 , 18 , 18
185 , 2023-07-05 11:26:03.925719 , 0 , 0 , 18 , 18
186 , 2023-07-05 11:26:05.630579 , 0 , 0 , 18 , 18
187 , 2023-07-05 11:26:07.322810 , 1 , 0 , 19 , 18
188 , 2023-07-05 11:26:09.005111 , 0 , 0 , 19 , 18
189 , 2023-07-05 11:26:10.690247 , 0 , 0 , 19 , 18
190 , 2023-07-05 11:26:12.401834 , 0 , 0 , 19 , 18
191 , 2023-07-05 11:26:14.094053 , 0 , 0 , 19 , 18
192 , 2023-07-05 11:26:15.792977 , 0 , 0 , 19 , 18
193 , 2023-07-05 11:26:17.469375 , 0 , 1 , 19 , 19
194 , 2023-07-05 11:26:19.130696 , 0 , 0 , 19 , 19
195 , 2023-07-05 11:26:20.728307 , 0 , 0 , 19 , 19
196 , 2023-07-05 11:26:22.303318 , 0 , 0 , 19 , 19
197 , 2023-07-05 11:26:23.909325 , 0 , 1 , 19 , 20
198 , 2023-07-05 11:26:25.546662 , 0 , 0 , 19 , 20
199 , 2023-07-05 11:26:27.164633 , 0 , 0 , 19 , 20
200 , 2023-07-05 11:26:28.782211 , 1 , 0 , 20 , 20
201 , 2023-07-05 11:26:30.443906 , 0 , 0 , 20 , 20
202 , 2023-07-05 11:26:32.153771 , 0 , 0 , 20 , 20
203 , 2023-07-05 11:26:33.851574 , 1 , 0 , 21 , 20
204 , 2023-07-05 11:26:35.544006 , 0 , 0 , 21 , 20
205 , 2023-07-05 11:26:37.267847 , 0 , 0 , 21 , 20
206 , 2023-07-05 11:26:38.936415 , 0 , 0 , 21 , 20
207 , 2023-07-05 11:26:40.548483 , 0 , 0 , 21 , 20
208 , 2023-07-05 11:26:42.132468 , 0 , 0 , 21 , 20
209 , 2023-07-05 11:26:43.734530 , 0 , 1 , 21 , 21
210 , 2023-07-05 11:26:45.388135 , 0 , 0 , 21 , 21
211 , 2023-07-05 11:26:47.031477 , 0 , 0 , 21 , 21
212 , 2023-07-05 11:26:48.694329 , 0 , 1 , 21 , 22
213 , 2023-07-05 11:26:50.444382 , 0 , 1 , 21 , 23
214 , 2023-07-05 11:26:52.209642 , 0 , 0 , 21 , 23
215 , 2023-07-05 11:26:53.988509 , 0 , 1 , 21 , 24
216 , 2023-07-05 11:26:55.731787 , 0 , 0 , 21 , 24
217 , 2023-07-05 11:26:57.470451 , 0 , 0 , 21 , 24
218 , 2023-07-05 11:26:59.232641 , 0 , 0 , 21 , 24
219 , 2023-07-05 11:27:01.147937 , 1 , 0 , 22 , 24
220 , 2023-07-05 11:27:02.884198 , 0 , 0 , 22 , 24
221 , 2023-07-05 11:27:04.617556 , 0 , 0 , 22 , 24
222 , 2023-07-05 11:27:06.393875 , 0 , 0 , 22 , 24
223 , 2023-07-05 11:27:08.141942 , 0 , 0 , 22 , 24
224 , 2023-07-05 11:27:09.833448 , 1 , 0 , 23 , 24
225 , 2023-07-05 11:27:11.546092 , 0 , 0 , 23 , 24
226 , 2023-07-05 11:27:13.228109 , 0 , 0 , 23 , 24
227 , 2023-07-05 11:27:14.918396 , 0 , 0 , 23 , 24
228 , 2023-07-05 11:27:17.857879 , 0 , 0 , 23 , 24
229 , 2023-07-05 11:27:19.493688 , 0 , 0 , 23 , 24
230 , 2023-07-05 11:27:21.146508 , 0 , 0 , 23 , 24
231 , 2023-07-05 11:27:22.818390 , 0 , 1 , 23 , 25
232 , 2023-07-05 11:27:25.107832 , 0 , 0 , 23 , 25
233 , 2023-07-05 11:27:26.768717 , 0 , 0 , 23 , 25
234 , 2023-07-05 11:27:28.431079 , 0 , 0 , 23 , 25
235 , 2023-07-05 11:27:30.171204 , 0 , 0 , 23 , 25
236 , 2023-07-05 11:27:31.906890 , 0 , 1 , 23 , 26
237 , 2023-07-05 11:27:33.651854 , 0 , 0 , 23 , 26
238 , 2023-07-05 11:27:35.436540 , 0 , 1 , 23 , 27
239 , 2023-07-05 11:27:37.157736 , 0 , 2 , 23 , 29
240 , 2023-07-05 11:27:40.017119 , 0 , 0 , 23 , 29
241 , 2023-07-05 11:27:41.779930 , 0 , 0 , 23 , 29
242 , 2023-07-05 11:27:43.534220 , 0 , 0 , 23 , 29
243 , 2023-07-05 11:27:45.279777 , 0 , 1 , 23 , 30
244 , 2023-07-05 11:27:46.999956 , 0 , 0 , 23 , 30
245 , 2023-07-05 11:27:48.686069 , 0 , 0 , 23 , 30
246 , 2023-07-05 11:27:50.383526 , 0 , 0 , 23 , 30
247 , 2023-07-05 11:27:52.126053 , 0 , 0 , 23 , 30
248 , 2023-07-05 11:27:53.825581 , 0 , 0 , 23 , 30
249 , 2023-07-05 11:27:55.472387 , 0 , 0 , 23 , 30
250 , 2023-07-05 11:27:57.143935 , 0 , 0 , 23 , 30
251 , 2023-07-05 11:27:58.746406 , 0 , 0 , 23 , 30
252 , 2023-07-05 11:28:00.409040 , 0 , 0 , 23 , 30
253 , 2023-07-05 11:28:02.058398 , 0 , 0 , 23 , 30
254 , 2023-07-05 11:28:03.705986 , 0 , 2 , 23 , 32
255 , 2023-07-05 11:28:05.391065 , 0 , 1 , 23 , 33
256 , 2023-07-05 11:28:07.086214 , 0 , 0 , 23 , 33
257 , 2023-07-05 11:28:08.776206 , 0 , 0 , 23 , 33
258 , 2023-07-05 11:28:10.484273 , 0 , 0 , 23 , 33
259 , 2023-07-05 11:28:12.234215 , 0 , 0 , 23 , 33
260 , 2023-07-05 11:28:14.000042 , 0 , 2 , 23 , 35
261 , 2023-07-05 11:28:15.735600 , 0 , 0 , 23 , 35
262 , 2023-07-05 11:28:17.488801 , 0 , 0 , 23 , 35
263 , 2023-07-05 11:28:19.257172 , 0 , 1 , 23 , 36
264 , 2023-07-05 11:28:20.996385 , 0 , 0 , 23 , 36
265 , 2023-07-05 11:28:22.803328 , 0 , 0 , 23 , 36
266 , 2023-07-05 11:28:24.656629 , 0 , 0 , 23 , 36
267 , 2023-07-05 11:28:26.461524 , 1 , 0 , 24 , 36
268 , 2023-07-05 11:28:28.270048 , 0 , 1 , 24 , 37
269 , 2023-07-05 11:28:30.143884 , 1 , 0 , 25 , 37
270 , 2023-07-05 11:28:32.038971 , 2 , 0 , 27 , 37
271 , 2023-07-05 11:28:33.928678 , 1 , 0 , 28 , 37
272 , 2023-07-05 11:28:35.759590 , 1 , 0 , 29 , 37
273 , 2023-07-05 11:28:37.544885 , 0 , 0 , 29 , 37
274 , 2023-07-05 11:28:39.304546 , 0 , 0 , 29 , 37
275 , 2023-07-05 11:28:41.048778 , 0 , 0 , 29 , 37
276 , 2023-07-05 11:28:42.732106 , 0 , 0 , 29 , 37
277 , 2023-07-05 11:28:44.412109 , 0 , 0 , 29 , 37
278 , 2023-07-05 11:28:46.062895 , 0 , 0 , 29 , 37
279 , 2023-07-05 11:28:47.861492 , 0 , 0 , 29 , 37
280 , 2023-07-05 11:28:49.508724 , 0 , 0 , 29 , 37
281 , 2023-07-05 11:28:51.212933 , 0 , 0 , 29 , 37
282 , 2023-07-05 11:28:52.906462 , 0 , 0 , 29 , 37
283 , 2023-07-05 11:28:54.619831 , 0 , 1 , 29 , 38
284 , 2023-07-05 11:28:56.334720 , 0 , 1 , 29 , 39
285 , 2023-07-05 11:28:58.071677 , 0 , 0 , 29 , 39
286 , 2023-07-05 11:28:59.781395 , 0 , 0 , 29 , 39
287 , 2023-07-05 11:29:01.496825 , 0 , 0 , 29 , 39
288 , 2023-07-05 11:29:03.210707 , 0 , 1 , 29 , 40
289 , 2023-07-05 11:29:04.889067 , 0 , 0 , 29 , 40
290 , 2023-07-05 11:29:06.577574 , 0 , 0 , 29 , 40
291 , 2023-07-05 11:29:08.275327 , 0 , 0 , 29 , 40
292 , 2023-07-05 11:29:09.916883 , 0 , 0 , 29 , 40
293 , 2023-07-05 11:29:11.567893 , 0 , 0 , 29 , 40
294 , 2023-07-05 11:29:13.185812 , 0 , 0 , 29 , 40
295 , 2023-07-05 11:29:14.783763 , 0 , 0 , 29 , 40
296 , 2023-07-05 11:29:16.398924 , 0 , 1 , 29 , 41
297 , 2023-07-05 11:29:17.996987 , 0 , 0 , 29 , 41
298 , 2023-07-05 11:29:19.615873 , 0 , 0 , 29 , 41
299 , 2023-07-05 11:29:21.216314 , 0 , 2 , 29 , 43
300 , 2023-07-05 11:29:22.828918 , 0 , 0 , 29 , 43
301 , 2023-07-05 11:29:25.519494 , 1 , 0 , 30 , 43
302 , 2023-07-05 11:29:27.154448 , 1 , 0 , 31 , 43
303 , 2023-07-05 11:29:28.770713 , 0 , 0 , 31 , 43
304 , 2023-07-05 11:29:30.429594 , 0 , 0 , 31 , 43
305 , 2023-07-05 11:29:32.645952 , 0 , 0 , 31 , 43
306 , 2023-07-05 11:29:34.354170 , 0 , 0 , 31 , 43
307 , 2023-07-05 11:29:36.011107 , 0 , 0 , 31 , 43
308 , 2023-07-05 11:29:37.665468 , 1 , 0 , 32 , 43
309 , 2023-07-05 11:29:39.325615 , 0 , 0 , 32 , 43
310 , 2023-07-05 11:29:40.998082 , 0 , 0 , 32 , 43
311 , 2023-07-05 11:29:42.672180 , 0 , 0 , 32 , 43
312 , 2023-07-05 11:29:44.410784 , 0 , 0 , 32 , 43
313 , 2023-07-05 11:29:46.102452 , 0 , 0 , 32 , 43
314 , 2023-07-05 11:29:47.779652 , 0 , 0 , 32 , 43
315 , 2023-07-05 11:29:49.477740 , 0 , 0 , 32 , 43
316 , 2023-07-05 11:29:51.155821 , 0 , 1 , 32 , 44
317 , 2023-07-05 11:29:52.809182 , 0 , 1 , 32 , 45
318 , 2023-07-05 11:29:54.456777 , 0 , 0 , 32 , 45
319 , 2023-07-05 11:29:56.071754 , 0 , 0 , 32 , 45
320 , 2023-07-05 11:29:57.713338 , 0 , 0 , 32 , 45
321 , 2023-07-05 11:29:59.331434 , 0 , 0 , 32 , 45
322 , 2023-07-05 11:30:00.967184 , 1 , 0 , 33 , 45
323 , 2023-07-05 11:30:02.616136 , 1 , 0 , 34 , 45
324 , 2023-07-05 11:30:04.237575 , 0 , 0 , 34 , 45
