Camera Name,Camera IP Address,Counter Name,Counter Value,Time Stamp
Parque Elche P3,172.30.252.111,Acceso Elche P3,25,Wed Aug 02 2023 00:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,5,Wed Aug 02 2023 01:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,14,Wed Aug 02 2023 02:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,12,Wed Aug 02 2023 03:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,5,Wed Aug 02 2023 04:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,1,Wed Aug 02 2023 05:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,8,Wed Aug 02 2023 06:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,23,Wed Aug 02 2023 07:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,49,Wed Aug 02 2023 08:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,153,Wed Aug 02 2023 09:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,322,Wed Aug 02 2023 10:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,247,Wed Aug 02 2023 11:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,210,Wed Aug 02 2023 12:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,157,Wed Aug 02 2023 13:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,138,Wed Aug 02 2023 14:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,115,Wed Aug 02 2023 15:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,160,Wed Aug 02 2023 16:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,311,Wed Aug 02 2023 17:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,271,Wed Aug 02 2023 18:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,110,Wed Aug 02 2023 19:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,90,Wed Aug 02 2023 20:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,73,Wed Aug 02 2023 21:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,45,Wed Aug 02 2023 22:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,46,Wed Aug 02 2023 23:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,34,Thu Aug 03 2023 00:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,16,Thu Aug 03 2023 01:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,0,Thu Aug 03 2023 02:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,4,Thu Aug 03 2023 03:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,1,Thu Aug 03 2023 04:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,3,Thu Aug 03 2023 05:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,8,Thu Aug 03 2023 06:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,45,Thu Aug 03 2023 07:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,68,Thu Aug 03 2023 08:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,137,Thu Aug 03 2023 09:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,336,Thu Aug 03 2023 10:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,344,Thu Aug 03 2023 11:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,216,Thu Aug 03 2023 12:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,133,Thu Aug 03 2023 13:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,88,Thu Aug 03 2023 14:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,119,Thu Aug 03 2023 15:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,146,Thu Aug 03 2023 16:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,273,Thu Aug 03 2023 17:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,253,Thu Aug 03 2023 18:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,151,Thu Aug 03 2023 19:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,74,Thu Aug 03 2023 20:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,50,Thu Aug 03 2023 21:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,38,Thu Aug 03 2023 22:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,35,Thu Aug 03 2023 23:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,45,Fri Aug 04 2023 00:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,10,Fri Aug 04 2023 01:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,6,Fri Aug 04 2023 02:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,2,Fri Aug 04 2023 03:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,3,Fri Aug 04 2023 04:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,7,Fri Aug 04 2023 05:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,9,Fri Aug 04 2023 06:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,23,Fri Aug 04 2023 07:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,62,Fri Aug 04 2023 08:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,140,Fri Aug 04 2023 09:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,336,Fri Aug 04 2023 10:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,301,Fri Aug 04 2023 11:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,214,Fri Aug 04 2023 12:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,151,Fri Aug 04 2023 13:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,96,Fri Aug 04 2023 14:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,110,Fri Aug 04 2023 15:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,181,Fri Aug 04 2023 16:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,275,Fri Aug 04 2023 17:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,231,Fri Aug 04 2023 18:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,103,Fri Aug 04 2023 19:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,79,Fri Aug 04 2023 20:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,72,Fri Aug 04 2023 21:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,48,Fri Aug 04 2023 22:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,39,Fri Aug 04 2023 23:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,40,Sat Aug 05 2023 00:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,13,Sat Aug 05 2023 01:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,8,Sat Aug 05 2023 02:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,2,Sat Aug 05 2023 03:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,7,Sat Aug 05 2023 04:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,3,Sat Aug 05 2023 05:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,12,Sat Aug 05 2023 06:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,28,Sat Aug 05 2023 07:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,50,Sat Aug 05 2023 08:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,111,Sat Aug 05 2023 09:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,322,Sat Aug 05 2023 10:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,281,Sat Aug 05 2023 11:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,271,Sat Aug 05 2023 12:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,200,Sat Aug 05 2023 13:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,158,Sat Aug 05 2023 14:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,163,Sat Aug 05 2023 15:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,217,Sat Aug 05 2023 16:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,381,Sat Aug 05 2023 17:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,260,Sat Aug 05 2023 18:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,107,Sat Aug 05 2023 19:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,109,Sat Aug 05 2023 20:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,78,Sat Aug 05 2023 21:00:00 GMT+0200 (hora de verano de Europa central)
Parque Elche P3,172.30.252.111,Acceso Elche P3,59,Sat Aug 05 2023 22:00:00 GMT+0200 (hora de verano de Europa central)
