sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
87 , 2023-07-05 10:05:07.227289 , 1 , 0 , 11 , 7
88 , 2023-07-05 10:05:13.244064 , 1 , 0 , 12 , 7
89 , 2023-07-05 10:05:19.912460 , 0 , 1 , 12 , 8
90 , 2023-07-05 10:05:25.129901 , 1 , 1 , 13 , 9
91 , 2023-07-05 10:05:29.624191 , 0 , 1 , 13 , 10
92 , 2023-07-05 10:05:34.268911 , 0 , 1 , 13 , 11
93 , 2023-07-05 10:05:38.845445 , 0 , 1 , 13 , 12
94 , 2023-07-05 10:05:43.191668 , 0 , 0 , 13 , 12
95 , 2023-07-05 10:05:47.650445 , 0 , 0 , 13 , 12
96 , 2023-07-05 10:05:51.923444 , 0 , 1 , 13 , 13
97 , 2023-07-05 10:05:56.169293 , 0 , 0 , 13 , 13
98 , 2023-07-05 10:06:00.529051 , 0 , 0 , 13 , 13
99 , 2023-07-05 10:06:04.851741 , 0 , 1 , 13 , 14
100 , 2023-07-05 10:06:10.703085 , 0 , 0 , 13 , 14
101 , 2023-07-05 10:06:15.067902 , 0 , 0 , 13 , 14
102 , 2023-07-05 10:06:19.523584 , 0 , 0 , 13 , 14
103 , 2023-07-05 10:06:24.030831 , 0 , 0 , 13 , 14
104 , 2023-07-05 10:06:28.417723 , 0 , 1 , 13 , 15
105 , 2023-07-05 10:06:32.823881 , 0 , 1 , 13 , 16
106 , 2023-07-05 10:06:37.128084 , 0 , 0 , 13 , 16
107 , 2023-07-05 10:06:41.548531 , 0 , 0 , 13 , 16
108 , 2023-07-05 10:06:46.043383 , 0 , 0 , 13 , 16
109 , 2023-07-05 10:06:50.324992 , 0 , 0 , 13 , 16
110 , 2023-07-05 10:06:54.648454 , 1 , 0 , 14 , 16
111 , 2023-07-05 10:07:00.181951 , 1 , 0 , 15 , 16
112 , 2023-07-05 10:07:04.590404 , 0 , 0 , 15 , 16
113 , 2023-07-05 10:07:08.791811 , 0 , 0 , 15 , 16
114 , 2023-07-05 10:07:13.003929 , 0 , 0 , 15 , 16
115 , 2023-07-05 10:07:17.579792 , 0 , 0 , 15 , 16
116 , 2023-07-05 10:07:22.136709 , 0 , 0 , 15 , 16
117 , 2023-07-05 10:07:26.525539 , 0 , 0 , 15 , 16
118 , 2023-07-05 10:07:31.076924 , 0 , 0 , 15 , 16
119 , 2023-07-05 10:07:35.517847 , 0 , 0 , 15 , 16
120 , 2023-07-05 10:07:39.997524 , 0 , 0 , 15 , 16
121 , 2023-07-05 10:07:44.443362 , 0 , 0 , 15 , 16
122 , 2023-07-05 10:07:49.009389 , 0 , 0 , 15 , 16
123 , 2023-07-05 10:07:53.407748 , 0 , 0 , 15 , 16
124 , 2023-07-05 10:07:58.093820 , 0 , 1 , 15 , 17
125 , 2023-07-05 10:08:02.506790 , 0 , 0 , 15 , 17
126 , 2023-07-05 10:08:07.090491 , 0 , 0 , 15 , 17
127 , 2023-07-05 10:08:11.456963 , 0 , 1 , 15 , 18
128 , 2023-07-05 10:08:17.406028 , 0 , 0 , 15 , 18
129 , 2023-07-05 10:08:21.762467 , 0 , 0 , 15 , 18
130 , 2023-07-05 10:08:26.220216 , 0 , 0 , 15 , 18
131 , 2023-07-05 10:08:30.608062 , 0 , 0 , 15 , 18
132 , 2023-07-05 10:08:34.996027 , 0 , 1 , 15 , 19
133 , 2023-07-05 10:08:39.593856 , 0 , 0 , 15 , 19
134 , 2023-07-05 10:08:44.175828 , 0 , 0 , 15 , 19
135 , 2023-07-05 10:08:48.674702 , 0 , 0 , 15 , 19
136 , 2023-07-05 10:08:53.157928 , 0 , 0 , 15 , 19
137 , 2023-07-05 10:08:57.516213 , 0 , 0 , 15 , 19
138 , 2023-07-05 10:09:01.908783 , 0 , 0 , 15 , 19
139 , 2023-07-05 10:09:07.863780 , 0 , 0 , 15 , 19
140 , 2023-07-05 10:09:12.204592 , 0 , 0 , 15 , 19
141 , 2023-07-05 10:09:16.785716 , 0 , 0 , 15 , 19
142 , 2023-07-05 10:09:21.353729 , 0 , 0 , 15 , 19
143 , 2023-07-05 10:09:26.056821 , 0 , 0 , 15 , 19
144 , 2023-07-05 10:09:30.514729 , 0 , 0 , 15 , 19
145 , 2023-07-05 10:09:35.003265 , 0 , 0 , 15 , 19
146 , 2023-07-05 10:09:39.507945 , 0 , 0 , 15 , 19
147 , 2023-07-05 10:09:43.970410 , 0 , 0 , 15 , 19
148 , 2023-07-05 10:09:48.463093 , 0 , 0 , 15 , 19
149 , 2023-07-05 10:09:52.955379 , 0 , 0 , 15 , 19
150 , 2023-07-05 10:09:58.492471 , 0 , 0 , 15 , 19
151 , 2023-07-05 10:10:03.093327 , 0 , 0 , 15 , 19
152 , 2023-07-05 10:10:07.771195 , 0 , 0 , 15 , 19
153 , 2023-07-05 10:10:12.229595 , 0 , 1 , 15 , 20
154 , 2023-07-05 10:10:16.571836 , 1 , 0 , 16 , 20
155 , 2023-07-05 10:10:21.021253 , 0 , 0 , 16 , 20
156 , 2023-07-05 10:10:25.495025 , 0 , 1 , 16 , 21
157 , 2023-07-05 10:10:29.832659 , 0 , 0 , 16 , 21
158 , 2023-07-05 10:10:34.211311 , 0 , 0 , 16 , 21
159 , 2023-07-05 10:10:38.577803 , 0 , 1 , 16 , 22
160 , 2023-07-05 10:10:42.917544 , 0 , 0 , 16 , 22
161 , 2023-07-05 10:10:47.202721 , 0 , 0 , 16 , 22
162 , 2023-07-05 10:10:52.878343 , 0 , 0 , 16 , 22
163 , 2023-07-05 10:10:57.141880 , 0 , 0 , 16 , 22
164 , 2023-07-05 10:11:01.416125 , 1 , 0 , 17 , 22
165 , 2023-07-05 10:11:05.631407 , 0 , 0 , 17 , 22
166 , 2023-07-05 10:11:10.046744 , 2 , 0 , 19 , 22
167 , 2023-07-05 10:11:14.556133 , 0 , 0 , 19 , 22
168 , 2023-07-05 10:11:18.840338 , 0 , 0 , 19 , 22
169 , 2023-07-05 10:11:23.127246 , 0 , 0 , 19 , 22
170 , 2023-07-05 10:11:27.392478 , 0 , 0 , 19 , 22
