sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
87 , 2023-07-25 12:41:07.264295 , 0 , 0 , 3 , 0
88 , 2023-07-25 12:41:11.013406 , 0 , 0 , 3 , 0
89 , 2023-07-25 12:41:14.754611 , 1 , 0 , 4 , 0
90 , 2023-07-25 12:41:18.479192 , 0 , 0 , 4 , 0
91 , 2023-07-25 12:41:22.221261 , 0 , 0 , 4 , 0
92 , 2023-07-25 12:41:25.990945 , 0 , 0 , 4 , 0
93 , 2023-07-25 12:41:29.814743 , 0 , 0 , 4 , 0
94 , 2023-07-25 12:41:33.597840 , 0 , 0 , 4 , 0
95 , 2023-07-25 12:41:37.352756 , 0 , 0 , 4 , 0
96 , 2023-07-25 12:41:41.101554 , 0 , 0 , 4 , 0
97 , 2023-07-25 12:41:44.881423 , 0 , 0 , 4 , 0
98 , 2023-07-25 12:41:48.658104 , 0 , 0 , 4 , 0
99 , 2023-07-25 12:41:52.410680 , 0 , 0 , 4 , 0
100 , 2023-07-25 12:41:56.185891 , 0 , 0 , 4 , 0
101 , 2023-07-25 12:41:59.909735 , 0 , 0 , 4 , 0
102 , 2023-07-25 12:42:03.838143 , 0 , 0 , 4 , 0
103 , 2023-07-25 12:42:08.165964 , 0 , 0 , 4 , 0
104 , 2023-07-25 12:42:12.073684 , 0 , 0 , 4 , 0
105 , 2023-07-25 12:42:15.888632 , 0 , 0 , 4 , 0
106 , 2023-07-25 12:42:19.696793 , 0 , 0 , 4 , 0
107 , 2023-07-25 12:42:23.582683 , 0 , 0 , 4 , 0
108 , 2023-07-25 12:42:27.382966 , 0 , 0 , 4 , 0
109 , 2023-07-25 12:42:31.179737 , 0 , 0 , 4 , 0
110 , 2023-07-25 12:42:34.928289 , 0 , 0 , 4 , 0
111 , 2023-07-25 12:42:38.655457 , 0 , 0 , 4 , 0
112 , 2023-07-25 12:42:42.444452 , 0 , 0 , 4 , 0
113 , 2023-07-25 12:42:46.201839 , 0 , 0 , 4 , 0
114 , 2023-07-25 12:42:49.933737 , 0 , 0 , 4 , 0
115 , 2023-07-25 12:42:53.677707 , 0 , 0 , 4 , 0
116 , 2023-07-25 12:42:57.407856 , 0 , 0 , 4 , 0
117 , 2023-07-25 12:43:01.134104 , 0 , 0 , 4 , 0
118 , 2023-07-25 12:43:04.891845 , 0 , 0 , 4 , 0
119 , 2023-07-25 12:43:08.653949 , 0 , 0 , 4 , 0
120 , 2023-07-25 12:43:12.469134 , 0 , 0 , 4 , 0
121 , 2023-07-25 12:43:16.270070 , 0 , 0 , 4 , 0
122 , 2023-07-25 12:43:20.025628 , 0 , 1 , 4 , 1
123 , 2023-07-25 12:43:23.799729 , 0 , 0 , 4 , 1
124 , 2023-07-25 12:43:27.625167 , 0 , 0 , 4 , 1
125 , 2023-07-25 12:43:31.385237 , 0 , 0 , 4 , 1
126 , 2023-07-25 12:43:35.144880 , 0 , 0 , 4 , 1
127 , 2023-07-25 12:43:38.900243 , 0 , 0 , 4 , 1
128 , 2023-07-25 12:43:42.668822 , 0 , 1 , 4 , 2
129 , 2023-07-25 12:43:46.460874 , 0 , 0 , 4 , 2
130 , 2023-07-25 12:43:50.218403 , 0 , 0 , 4 , 2
131 , 2023-07-25 12:43:53.975851 , 0 , 0 , 4 , 2
132 , 2023-07-25 12:43:57.737408 , 0 , 0 , 4 , 2
133 , 2023-07-25 12:44:01.500102 , 0 , 0 , 4 , 2
134 , 2023-07-25 12:44:05.246811 , 0 , 0 , 4 , 2
135 , 2023-07-25 12:44:08.992949 , 0 , 0 , 4 , 2
136 , 2023-07-25 12:44:12.761474 , 0 , 0 , 4 , 2
137 , 2023-07-25 12:44:16.510979 , 0 , 0 , 4 , 2
138 , 2023-07-25 12:44:20.259113 , 0 , 0 , 4 , 2
139 , 2023-07-25 12:44:24.009580 , 0 , 2 , 4 , 4
140 , 2023-07-25 12:44:27.751809 , 0 , 0 , 4 , 4
141 , 2023-07-25 12:44:31.519191 , 0 , 0 , 4 , 4
142 , 2023-07-25 12:44:35.266202 , 0 , 0 , 4 , 4
143 , 2023-07-25 12:44:39.033213 , 0 , 0 , 4 , 4
144 , 2023-07-25 12:44:42.803531 , 0 , 0 , 4 , 4
145 , 2023-07-25 12:44:46.569277 , 0 , 0 , 4 , 4
146 , 2023-07-25 12:44:50.345731 , 0 , 0 , 4 , 4
147 , 2023-07-25 12:44:54.119829 , 0 , 0 , 4 , 4
148 , 2023-07-25 12:44:57.883701 , 0 , 0 , 4 , 4
149 , 2023-07-25 12:45:01.647080 , 0 , 0 , 4 , 4
150 , 2023-07-25 12:45:05.430803 , 0 , 0 , 4 , 4
151 , 2023-07-25 12:45:09.164184 , 0 , 0 , 4 , 4
152 , 2023-07-25 12:45:12.925341 , 0 , 0 , 4 , 4
153 , 2023-07-25 12:45:16.720842 , 0 , 0 , 4 , 4
154 , 2023-07-25 12:45:20.484739 , 0 , 0 , 4 , 4
155 , 2023-07-25 12:45:24.254082 , 1 , 0 , 5 , 4
156 , 2023-07-25 12:45:28.049060 , 0 , 0 , 5 , 4
157 , 2023-07-25 12:45:31.816149 , 0 , 0 , 5 , 4
158 , 2023-07-25 12:45:35.568621 , 0 , 0 , 5 , 4
159 , 2023-07-25 12:45:39.410167 , 0 , 1 , 5 , 5
160 , 2023-07-25 12:45:43.163842 , 0 , 0 , 5 , 5
161 , 2023-07-25 12:45:47.004815 , 0 , 0 , 5 , 5
162 , 2023-07-25 12:45:50.786676 , 0 , 0 , 5 , 5
163 , 2023-07-25 12:45:54.552007 , 1 , 0 , 6 , 5
164 , 2023-07-25 12:45:58.326848 , 0 , 0 , 6 , 5
165 , 2023-07-25 12:46:02.095331 , 0 , 0 , 6 , 5
166 , 2023-07-25 12:46:05.863978 , 0 , 0 , 6 , 5
167 , 2023-07-25 12:46:10.136254 , 0 , 0 , 6 , 5
168 , 2023-07-25 12:46:14.332006 , 0 , 0 , 6 , 5
169 , 2023-07-25 12:46:18.734192 , 0 , 0 , 6 , 5
170 , 2023-07-25 12:46:22.874197 , 0 , 0 , 6 , 5
171 , 2023-07-25 12:46:26.920570 , 0 , 0 , 6 , 5
172 , 2023-07-25 12:46:31.063411 , 0 , 1 , 6 , 6
173 , 2023-07-25 12:46:35.657557 , 0 , 0 , 6 , 6
174 , 2023-07-25 12:46:40.359792 , 0 , 0 , 6 , 6
175 , 2023-07-25 12:46:45.029995 , 0 , 0 , 6 , 6
176 , 2023-07-25 12:46:49.713326 , 0 , 0 , 6 , 6
177 , 2023-07-25 12:46:54.263427 , 0 , 0 , 6 , 6
178 , 2023-07-25 12:46:58.437290 , 0 , 0 , 6 , 6
179 , 2023-07-25 12:47:02.567660 , 0 , 0 , 6 , 6
180 , 2023-07-25 12:47:06.888930 , 0 , 0 , 6 , 6
181 , 2023-07-25 12:47:10.978046 , 0 , 0 , 6 , 6
182 , 2023-07-25 12:47:15.247412 , 0 , 0 , 6 , 6
183 , 2023-07-25 12:47:19.903857 , 0 , 0 , 6 , 6
184 , 2023-07-25 12:47:24.423050 , 0 , 0 , 6 , 6
185 , 2023-07-25 12:47:29.466120 , 0 , 0 , 6 , 6
186 , 2023-07-25 12:47:33.904498 , 0 , 0 , 6 , 6
187 , 2023-07-25 12:47:38.047432 , 1 , 0 , 7 , 6
188 , 2023-07-25 12:47:42.293848 , 0 , 0 , 7 , 6
189 , 2023-07-25 12:47:46.831101 , 0 , 0 , 7 , 6
190 , 2023-07-25 12:47:51.494515 , 1 , 0 , 8 , 6
191 , 2023-07-25 12:47:55.913263 , 0 , 0 , 8 , 6
192 , 2023-07-25 12:48:00.423518 , 0 , 0 , 8 , 6
193 , 2023-07-25 12:48:04.577064 , 0 , 0 , 8 , 6
194 , 2023-07-25 12:48:08.736841 , 0 , 0 , 8 , 6
195 , 2023-07-25 12:48:12.778384 , 0 , 0 , 8 , 6
196 , 2023-07-25 12:48:16.896421 , 0 , 0 , 8 , 6
197 , 2023-07-25 12:48:20.912199 , 0 , 0 , 8 , 6
198 , 2023-07-25 12:48:25.255794 , 0 , 0 , 8 , 6
199 , 2023-07-25 12:48:30.361986 , 0 , 0 , 8 , 6
200 , 2023-07-25 12:48:34.647118 , 0 , 0 , 8 , 6
201 , 2023-07-25 12:48:38.826536 , 0 , 0 , 8 , 6
202 , 2023-07-25 12:48:42.839524 , 0 , 0 , 8 , 6
203 , 2023-07-25 12:48:47.035152 , 0 , 0 , 8 , 6
204 , 2023-07-25 12:48:51.050165 , 2 , 0 , 10 , 6
205 , 2023-07-25 12:48:55.052269 , 1 , 0 , 11 , 6
206 , 2023-07-25 12:48:59.136745 , 1 , 0 , 12 , 6
207 , 2023-07-25 12:49:03.173247 , 0 , 0 , 12 , 6
208 , 2023-07-25 12:49:07.220364 , 0 , 0 , 12 , 6
209 , 2023-07-25 12:49:11.487278 , 0 , 0 , 12 , 6
210 , 2023-07-25 12:49:15.447874 , 0 , 0 , 12 , 6
211 , 2023-07-25 12:49:19.287248 , 0 , 1 , 12 , 7
212 , 2023-07-25 12:49:23.154908 , 0 , 0 , 12 , 7
213 , 2023-07-25 12:49:26.977405 , 0 , 1 , 12 , 8
214 , 2023-07-25 12:49:30.784845 , 0 , 0 , 12 , 8
215 , 2023-07-25 12:49:34.602403 , 1 , 0 , 13 , 8
216 , 2023-07-25 12:49:38.408573 , 0 , 0 , 13 , 8
217 , 2023-07-25 12:49:42.211437 , 0 , 0 , 13 , 8
218 , 2023-07-25 12:49:46.005026 , 1 , 0 , 14 , 8
219 , 2023-07-25 12:49:49.780964 , 1 , 0 , 15 , 8
220 , 2023-07-25 12:49:53.565327 , 0 , 0 , 15 , 8
221 , 2023-07-25 12:49:57.365211 , 0 , 0 , 15 , 8
222 , 2023-07-25 12:50:01.238507 , 0 , 0 , 15 , 8
223 , 2023-07-25 12:50:05.098786 , 0 , 0 , 15 , 8
224 , 2023-07-25 12:50:09.197074 , 0 , 0 , 15 , 8
225 , 2023-07-25 12:50:13.246608 , 0 , 0 , 15 , 8
226 , 2023-07-25 12:50:17.161755 , 0 , 0 , 15 , 8
227 , 2023-07-25 12:50:21.102958 , 0 , 0 , 15 , 8
228 , 2023-07-25 12:50:25.031919 , 0 , 0 , 15 , 8
229 , 2023-07-25 12:50:28.900612 , 0 , 0 , 15 , 8
230 , 2023-07-25 12:50:32.835652 , 0 , 0 , 15 , 8
231 , 2023-07-25 12:50:36.738631 , 0 , 0 , 15 , 8
232 , 2023-07-25 12:50:40.577286 , 0 , 0 , 15 , 8
233 , 2023-07-25 12:50:44.367635 , 0 , 0 , 15 , 8
234 , 2023-07-25 12:50:48.137978 , 0 , 0 , 15 , 8
235 , 2023-07-25 12:50:51.970656 , 0 , 0 , 15 , 8
236 , 2023-07-25 12:50:55.745467 , 0 , 0 , 15 , 8
237 , 2023-07-25 12:50:59.662370 , 0 , 0 , 15 , 8
238 , 2023-07-25 12:51:03.898036 , 0 , 0 , 15 , 8
239 , 2023-07-25 12:51:08.285701 , 0 , 0 , 15 , 8
240 , 2023-07-25 12:51:12.709325 , 0 , 0 , 15 , 8
241 , 2023-07-25 12:51:16.902378 , 0 , 0 , 15 , 8
242 , 2023-07-25 12:51:20.689548 , 0 , 0 , 15 , 8
243 , 2023-07-25 12:51:24.847203 , 0 , 0 , 15 , 8
244 , 2023-07-25 12:51:28.762447 , 0 , 0 , 15 , 8
245 , 2023-07-25 12:51:32.491596 , 0 , 0 , 15 , 8
246 , 2023-07-25 12:51:36.230281 , 0 , 0 , 15 , 8
247 , 2023-07-25 12:51:39.965164 , 0 , 0 , 15 , 8
248 , 2023-07-25 12:51:43.710067 , 0 , 0 , 15 , 8
249 , 2023-07-25 12:51:47.389634 , 0 , 0 , 15 , 8
250 , 2023-07-25 12:51:51.076083 , 0 , 0 , 15 , 8
251 , 2023-07-25 12:51:54.761438 , 0 , 0 , 15 , 8
252 , 2023-07-25 12:51:58.526997 , 0 , 0 , 15 , 8
253 , 2023-07-25 12:52:02.263867 , 0 , 0 , 15 , 8
254 , 2023-07-25 12:52:05.994286 , 0 , 0 , 15 , 8
255 , 2023-07-25 12:52:09.703523 , 0 , 0 , 15 , 8
256 , 2023-07-25 12:52:13.427281 , 0 , 0 , 15 , 8
257 , 2023-07-25 12:52:17.133510 , 0 , 0 , 15 , 8
258 , 2023-07-25 12:52:20.867590 , 0 , 0 , 15 , 8
259 , 2023-07-25 12:52:24.608696 , 0 , 0 , 15 , 8
260 , 2023-07-25 12:52:28.363280 , 0 , 0 , 15 , 8
261 , 2023-07-25 12:52:32.095691 , 0 , 0 , 15 , 8
262 , 2023-07-25 12:52:35.842474 , 0 , 0 , 15 , 8
263 , 2023-07-25 12:52:39.545673 , 0 , 1 , 15 , 9
264 , 2023-07-25 12:52:43.245823 , 0 , 0 , 15 , 9
265 , 2023-07-25 12:52:46.966517 , 0 , 0 , 15 , 9
266 , 2023-07-25 12:52:50.638880 , 0 , 1 , 15 , 10
267 , 2023-07-25 12:52:54.356049 , 0 , 0 , 15 , 10
268 , 2023-07-25 12:52:58.061396 , 0 , 0 , 15 , 10
269 , 2023-07-25 12:53:01.743721 , 0 , 0 , 15 , 10
270 , 2023-07-25 12:53:05.442132 , 0 , 0 , 15 , 10
271 , 2023-07-25 12:53:09.130446 , 0 , 0 , 15 , 10
272 , 2023-07-25 12:53:12.839545 , 0 , 0 , 15 , 10
273 , 2023-07-25 12:53:16.548724 , 0 , 0 , 15 , 10
274 , 2023-07-25 12:53:20.338814 , 0 , 0 , 15 , 10
275 , 2023-07-25 12:53:24.014669 , 0 , 0 , 15 , 10
276 , 2023-07-25 12:53:27.718441 , 1 , 0 , 16 , 10
277 , 2023-07-25 12:53:31.437901 , 0 , 0 , 16 , 10
278 , 2023-07-25 12:53:35.134782 , 0 , 0 , 16 , 10
279 , 2023-07-25 12:53:38.849152 , 0 , 0 , 16 , 10
280 , 2023-07-25 12:53:42.559848 , 1 , 0 , 17 , 10
281 , 2023-07-25 12:53:46.294630 , 0 , 0 , 17 , 10
282 , 2023-07-25 12:53:50.015526 , 1 , 0 , 18 , 10
283 , 2023-07-25 12:53:53.732408 , 0 , 0 , 18 , 10
284 , 2023-07-25 12:53:57.564068 , 0 , 0 , 18 , 10
285 , 2023-07-25 12:54:01.284155 , 0 , 0 , 18 , 10
286 , 2023-07-25 12:54:04.997097 , 0 , 0 , 18 , 10
287 , 2023-07-25 12:54:08.695960 , 0 , 0 , 18 , 10
288 , 2023-07-25 12:54:12.409249 , 0 , 0 , 18 , 10
289 , 2023-07-25 12:54:16.115698 , 0 , 0 , 18 , 10
290 , 2023-07-25 12:54:19.820187 , 0 , 0 , 18 , 10
291 , 2023-07-25 12:54:23.498307 , 0 , 0 , 18 , 10
292 , 2023-07-25 12:54:27.190664 , 0 , 0 , 18 , 10
293 , 2023-07-25 12:54:30.900492 , 0 , 0 , 18 , 10
294 , 2023-07-25 12:54:34.586035 , 0 , 0 , 18 , 10
295 , 2023-07-25 12:54:38.256450 , 0 , 0 , 18 , 10
296 , 2023-07-25 12:54:41.950572 , 0 , 0 , 18 , 10
297 , 2023-07-25 12:54:45.634530 , 0 , 0 , 18 , 10
298 , 2023-07-25 12:54:49.349352 , 0 , 0 , 18 , 10
299 , 2023-07-25 12:54:53.086781 , 0 , 0 , 18 , 10
300 , 2023-07-25 12:54:56.791992 , 0 , 0 , 18 , 10
301 , 2023-07-25 12:55:00.509099 , 0 , 0 , 18 , 10
302 , 2023-07-25 12:55:04.230068 , 0 , 0 , 18 , 10
303 , 2023-07-25 12:55:07.966116 , 2 , 0 , 20 , 10
304 , 2023-07-25 12:55:11.678971 , 0 , 0 , 20 , 10
305 , 2023-07-25 12:55:15.409970 , 0 , 0 , 20 , 10
306 , 2023-07-25 12:55:19.140021 , 0 , 0 , 20 , 10
307 , 2023-07-25 12:55:22.883701 , 0 , 0 , 20 , 10
308 , 2023-07-25 12:55:26.607527 , 1 , 0 , 21 , 10
309 , 2023-07-25 12:55:30.410483 , 0 , 0 , 21 , 10
310 , 2023-07-25 12:55:34.148385 , 1 , 0 , 22 , 10
311 , 2023-07-25 12:55:37.883964 , 0 , 1 , 22 , 11
312 , 2023-07-25 12:55:41.600381 , 0 , 0 , 22 , 11
313 , 2023-07-25 12:55:45.352350 , 0 , 0 , 22 , 11
314 , 2023-07-25 12:55:49.073639 , 0 , 0 , 22 , 11
315 , 2023-07-25 12:55:52.760840 , 0 , 0 , 22 , 11
316 , 2023-07-25 12:55:56.466140 , 1 , 0 , 23 , 11
317 , 2023-07-25 12:56:00.151483 , 0 , 0 , 23 , 11
318 , 2023-07-25 12:56:03.831476 , 0 , 0 , 23 , 11
319 , 2023-07-25 12:56:07.552733 , 0 , 0 , 23 , 11
320 , 2023-07-25 12:56:11.262788 , 0 , 0 , 23 , 11
321 , 2023-07-25 12:56:15.006708 , 0 , 0 , 23 , 11
322 , 2023-07-25 12:56:18.738287 , 0 , 0 , 23 , 11
323 , 2023-07-25 12:56:22.460381 , 0 , 0 , 23 , 11
324 , 2023-07-25 12:56:26.196499 , 0 , 0 , 23 , 11
325 , 2023-07-25 12:56:29.902255 , 0 , 0 , 23 , 11
326 , 2023-07-25 12:56:33.634900 , 0 , 0 , 23 , 11
327 , 2023-07-25 12:56:37.393021 , 0 , 0 , 23 , 11
328 , 2023-07-25 12:56:41.104769 , 0 , 0 , 23 , 11
329 , 2023-07-25 12:56:44.790297 , 0 , 0 , 23 , 11
330 , 2023-07-25 12:56:48.484663 , 0 , 0 , 23 , 11
331 , 2023-07-25 12:56:52.200239 , 0 , 0 , 23 , 11
332 , 2023-07-25 12:56:55.915035 , 0 , 0 , 23 , 11
333 , 2023-07-25 12:56:59.628540 , 0 , 0 , 23 , 11
334 , 2023-07-25 12:57:03.364835 , 0 , 0 , 23 , 11
335 , 2023-07-25 12:57:07.096806 , 0 , 0 , 23 , 11
336 , 2023-07-25 12:57:10.849138 , 0 , 0 , 23 , 11
337 , 2023-07-25 12:57:14.589024 , 1 , 0 , 24 , 11
338 , 2023-07-25 12:57:18.306355 , 0 , 0 , 24 , 11
339 , 2023-07-25 12:57:22.023595 , 0 , 0 , 24 , 11
340 , 2023-07-25 12:57:25.717048 , 0 , 0 , 24 , 11
